# 文書番号	予測ラベル
2402	  0
2408	  0
2422	  0
2431	  0
2435	  0
2460	  0
2461	  0
2463	  0
2468	  0
2472	  0
2491	  0
2492	  0
2493	  0
2502	  0
2507	  0
2522	  0
2525	  0
2548	  0
2549	  0
2557	  0
2558	  0
2587	  1
2602	  0
2603	  1
2627	  0
2629	  0
2630	  0
2631	  0
2663	  0
2679	  0
2690	  0
2727	  0
2728	  0
2765	  0
2772	  0
2773	  0
2775	  0
2776	  0
2793	  0
2834	  0
2839	  0
2849	  0
2853	  0
2860	  0
2885	  0
2893	  0
2898	  0
2931	  0
2934	  0
2937	  0
2940	  0
2946	  0
2949	  0
2958	  0
2959	  0
2963	  0
2968	  0
2972	  0
2981	  0
2984	  0
2986	  0
2987	  0
2990	  0
2999	  0
3013	  0
3035	  0
3043	  0
3046	  0
3056	  0
3070	  0
3071	  0
3072	  0
3098	  1
3127	  0
3131	  0
3170	  0
3173	  0
3187	  0
3196	  0
3201	  0
3203	  0
3227	  0
3240	  0
3244	  0
3284	  0
3287	  0
3293	  0
3307	  0
3312	  0
3326	  0
3341	  0
3346	  0
3355	  0
3357	  0
3360	  0
3361	  0
3377	  0
3381	  0
3398	  0
3406	  0
3412	  0
3433	  0
3437	  0
3441	  0
3442	  0
3451	  0
3467	  0
3470	  0
3505	  0
3530	  0
3552	  0
3579	  0
3582	  0
3589	  0
3606	  0
3639	  0
3647	  0
3648	  0
3653	  0
3658	  0
3661	  0
3677	  0
3708	  0
3709	  0
3719	  0
3720	  0
3721	  0
3737	  0
3760	  0
3776	  0
3783	  0
3790	  0
3796	  0
3800	  0
3802	  0
3807	  0
3823	  0
3826	  0
3835	  0
3841	  0
3869	  0
3871	  0
3874	  0
3876	  0
3879	  0
3885	  0
3890	  0
3904	  0
3909	  0
3910	  0
3923	  0
3924	  0
3925	  0
3935	  0
3936	  0
3951	  0
3962	  0
3974	  0
3979	  0
3989	  0
3990	  0
3997	  0
3999	  0
4003	  0
4005	  0
4011	  0
4015	  0
4023	  0
4034	  0
4037	  0
4088	  0
4090	  0
4095	  0
4098	  0
4132	  0
4133	  0
4137	  0
4153	  0
4154	  0
4159	  0
4161	  0
4174	  0
4215	  0
4217	  0
4228	  0
4237	  0
4254	  0
4266	  0
4268	  0
4274	  0
4282	  0
4285	  0
4302	  0
4309	  0
4312	  0
4316	  0
4318	  0
4328	  0
4336	  0
4337	  0
4340	  0
4345	  0
4349	  0
4350	  0
4355	  0
4363	  0
4376	  0
4396	  0
4398	  0
4400	  0
4410	  0
4442	  0
4444	  0
4463	  0
4488	  0
4504	  0
4510	  0
4522	  0
4527	  0
4532	  0
4544	  0
4547	  0
4564	  0
4570	  0
4578	  0
4598	  0
4621	  0
4628	  0
4630	  0
4632	  0
4638	  0
4664	  0
4668	  0
4672	  0
4680	  0
4681	  0
4683	  0
4686	  0
4712	  0
4728	  0
4747	  0
4757	  0
4764	  0
4770	  0
4773	  0
4795	  0
4806	  0
4819	  0
4827	  0
4835	  0
4867	  0
4871	  0
4875	  0
4876	  0
4887	  0
4900	  0
4929	  0
4942	  0
4943	  0
4960	  0
4971	  0
4973	  0
4979	  0
4980	  0
4985	  0
4995	  0
5013	  0
5017	  0
5025	  0
5030	  0
5035	  0
5054	  0
5060	  0
5070	  0
5078	  0
5088	  0
5109	  0
5112	  0
5115	  0
5119	  0
5121	  0
5144	  0
5149	  0
5158	  0
5168	  0
5169	  0
5204	  0
5205	  0
5214	  0
5215	  0
5218	  0
5219	  0
5222	  0
5233	  0
5236	  0
5246	  0
5251	  0
5257	  0
5275	  0
5285	  0
5289	  0
5293	  0
5310	  0
5327	  0
5332	  0
5337	  0
5339	  0
5351	  0
5356	  0
5366	  0
5370	  0
5375	  0
5379	  0
5382	  0
5383	  0
5385	  0
5400	  0
5434	  0
5453	  0
5459	  0
5473	  0
5476	  0
5487	  0
5491	  0
5500	  0
5503	  0
5520	  0
5535	  0
5538	  0
5547	  0
5553	  0
5554	  0
5565	  0
5569	  0
5596	  0
5602	  0
5617	  0
5629	  0
5636	  0
5639	  0
5647	  0
5658	  0
5676	  0
5678	  0
5679	  0
5681	  0
5710	  0
5730	  0
5733	  0
5737	  0
5747	  0
5752	  0
5762	  0
5801	  0
5805	  0
5808	  0
5816	  0
5843	  0
5846	  0
5853	  0
5856	  0
5859	  0
5865	  0
5880	  0
5891	  0
5895	  0
5896	  0
5899	  0
5906	  0
5907	  0
5911	  0
5915	  0
5916	  0
5923	  0
5934	  0
5935	  0
5937	  0
5938	  0
5942	  0
5949	  0
5952	  0
5960	  0
5961	  0
5975	  0
5978	  0
5984	  0
5997	  0
6000	  0
6006	  0
6009	  0
6030	  0
6031	  0
6047	  0
6052	  0
6058	  0
6072	  0
6078	  0
6086	  0
6088	  0
6090	  0
6104	  1
6111	  0
6115	  0
6122	  0
6129	  0
6145	  0
6150	  0
6157	  0
6158	  0
6161	  0
6206	  0
6207	  0
6214	  0
6221	  0
6225	  0
6241	  0
6244	  0
6272	  0
6288	  0
6290	  0
6291	  0
6292	  0
6296	  0
6298	  0
6309	  0
6317	  0
6327	  0
6328	  0
6338	  0
6348	  0
6350	  0
6353	  0
6357	  0
6373	  0
6382	  0
6401	  0
6429	  0
6438	  0
6455	  0
6458	  0
6486	  0
6487	  0
6504	  0
6510	  0
6521	  0
6530	  0
6536	  0
6539	  0
6553	  0
6561	  0
6566	  0
6579	  0
6581	  0
6601	  0
6607	  0
6611	  0
6622	  0
6623	  0
6656	  0
6669	  0
6676	  0
6683	  0
6693	  0
6697	  0
6708	  0
6710	  0
6712	  0
6733	  0
6743	  0
6758	  0
6761	  0
6765	  0
6771	  0
6781	  0
6783	  0
6792	  0
6828	  0
6833	  0
6838	  0
6848	  0
6850	  0
6855	  0
6857	  0
6884	  0
6898	  0
6928	  0
6946	  0
6961	  0
6966	  0
6982	  0
6987	  0
6990	  0
6996	  0
6997	  0
6999	  0
7003	  0
7004	  0
7014	  0
7016	  0
7019	  0
7039	  0
7044	  0
7045	  0
7048	  0
7062	  0
7084	  0
7104	  0
7107	  0
7126	  0
7134	  0
7155	  0
7191	  0
7209	  0
7214	  0
7215	  0
7225	  0
7238	  0
7243	  0
7248	  0
7261	  0
7310	  0
7313	  0
7317	  0
7320	  0
7324	  0
7356	  0
7365	  0
7366	  0
7368	  0
7369	  0
7371	  0
7373	  0
7375	  0
7389	  1
7403	  1
7408	  0
7417	  0
7423	  0
7466	  0
7479	  0
7512	  0
7534	  0
7536	  0
7539	  0
7549	  0
7563	  0
7572	  0
7580	  0
7627	  0
7644	  0
7646	  0
7647	  0
7661	  0
7663	  0
7670	  0
7679	  0
7685	  0
7691	  0
7708	  0
7716	  0
7721	  0
7724	  0
7727	  0
7729	  0
7743	  0
7757	  0
7761	  0
7771	  0
7789	  0
7807	  0
7827	  0
7862	  0
7868	  0
7875	  0
7884	  0
7889	  0
7912	  0
7935	  0
7940	  0
7945	  0
7955	  0
7959	  0
7989	  0
8000	  0
8002	  0
8026	  0
8062	  0
8068	  0
8081	  0
8090	  0
8092	  0
8119	  0
8123	  0
8126	  1
8134	  0
8138	  0
8150	  0
8171	  0
8174	  0
8175	  0
8189	  0
8211	  0
8213	  0
8214	  0
8231	  0
8240	  0
8241	  0
8271	  0
8273	  0
8284	  0
8297	  0
8315	  0
8317	  0
8318	  0
8367	  0
8391	  0
8417	  0
8422	  0
8423	  0
8434	  0
8435	  0
8457	  0
8463	  0
8481	  0
8485	  0
8491	  0
8503	  0
8514	  0
8532	  0
8554	  0
8558	  0
8579	  0
8581	  0
8585	  0
8586	  0
8599	  0
8613	  0
8619	  0
8625	  0
8634	  0
8638	  0
8642	  0
8654	  0
8657	  0
8659	  0
8666	  0
8704	  0
8714	  0
8732	  0
8733	  0
8735	  0
8739	  0
8754	  0
8771	  0
8797	  0
8811	  0
8815	  0
8829	  0
8842	  0
8848	  0
8851	  0
8861	  0
8871	  0
8873	  0
8874	  0
8879	  0
8887	  0
8897	  1
8900	  0
8915	  0
8926	  0
8932	  0
8935	  0
8942	  0
8952	  0
8967	  0
8971	  0
8982	  0
9015	  0
9061	  0
9067	  0
9072	  0
9086	  0
9122	  0
9124	  0
9126	  0
9135	  0
9156	  0
9161	  0
9179	  0
9196	  0
9200	  0
9209	  0
9213	  0
9214	  0
9220	  0
9236	  0
9239	  0
9240	  0
9242	  0
9258	  0
9264	  0
9266	  0
9291	  0
9293	  0
9309	  0
9346	  0
9349	  0
9376	  0
9377	  0
9391	  0
9436	  0
9458	  0
9463	  0
9465	  0
9466	  0
9471	  0
9481	  0
9503	  0
9515	  0
9519	  0
9529	  0
9553	  0
9569	  0
9573	  0
9579	  0
9590	  0
9593	  0
9594	  0
9603	  0
9604	  0
9617	  0
9620	  0
9630	  0
9655	  0
9657	  0
9658	  0
9666	  0
9670	  0
9672	  0
9682	  0
9686	  0
9698	  0
9704	  0
9721	  0
9740	  0
9749	  0
9769	  0
9799	  0
9810	  0
