# 文書番号	予測ラベル
  6	  0
 25	  0
 28	  0
 51	  0
 55	  0
 60	  0
 74	  1
 95	  0
101	  0
107	  1
113	  0
119	  0
134	  0
148	  0
151	  0
155	  0
167	  1
168	  1
169	  0
171	  0
185	  0
192	  1
197	  0
218	  0
235	  0
239	  0
243	  0
248	  0
255	  0
263	  0
267	  0
293	  0
307	  0
321	  0
330	  0
332	  0
340	  1
351	  0
374	  1
381	  0
382	  1
384	  0
390	  0
396	  0
416	  0
431	  1
436	  0
444	  0
468	  0
490	  0
496	  0
500	  0
517	  0
521	  0
534	  0
538	  1
554	  0
555	  0
560	  0
567	  1
570	  1
584	  0
592	  0
617	  0
624	  0
627	  0
637	  1
638	  0
639	  0
651	  0
661	  0
686	  0
688	  0
701	  0
713	  0
714	  0
736	  0
737	  0
743	  0
751	  0
756	  0
767	  0
776	  0
781	  0
784	  0
798	  0
807	  0
816	  0
837	  0
861	  0
865	  1
896	  0
901	  0
911	  0
928	  1
934	  0
937	  0
963	  0
980	  0
993	  0
1005	  0
1010	  0
1011	  0
1013	  0
1017	  0
1034	  0
1039	  0
1042	  0
1063	  1
1069	  1
1087	  1
1094	  0
1109	  0
1112	  1
1118	  0
1128	  0
1139	  0
1169	  0
1174	  0
1198	  0
1205	  1
1210	  1
1219	  0
1235	  0
1253	  0
1266	  0
1272	  0
1293	  1
1309	  0
1319	  1
1324	  0
1331	  0
1334	  0
1336	  1
1372	  0
1377	  0
1378	  1
1381	  0
1387	  1
1407	  0
1412	  1
1453	  0
1456	  0
1464	  0
1468	  0
1475	  0
1484	  0
1487	  0
1497	  0
1511	  0
1533	  0
1563	  0
1571	  0
1580	  0
1586	  0
1591	  0
1598	  0
1628	  0
1634	  0
1650	  0
1652	  0
1660	  0
1662	  0
1664	  0
1669	  0
1679	  0
1698	  0
1700	  0
1701	  0
1702	  0
1723	  0
1748	  0
1762	  0
1782	  0
1795	  0
1827	  0
1831	  0
1836	  0
1864	  0
1867	  0
1870	  0
1882	  0
1896	  0
1898	  0
1900	  0
1909	  0
1925	  0
1926	  0
1930	  0
1936	  0
1959	  0
1960	  0
1969	  0
1977	  0
1983	  0
1985	  0
1996	  1
2000	  0
2008	  0
2025	  0
2027	  0
2037	  0
2049	  0
2068	  0
2070	  0
2079	  0
2083	  0
2092	  0
2095	  0
2107	  0
2128	  0
2132	  0
2164	  0
2174	  0
2192	  0
2202	  0
2206	  0
2209	  0
2211	  0
2229	  0
2240	  0
2258	  1
2267	  0
2305	  0
2307	  0
2334	  0
2360	  0
2366	  0
2367	  0
2379	  0
